renovation,area,city,floor,rooms,house_floors,house_wall_type,build_year,price
,32.0,Казань,2,1,4,Кирпичный,1959,4200000.0
,31.7,Казань,2,1,5,Панельный,1971,4999977.6
Косметический,31.0,Казань,1,1,5,Блочный,1969,5049993.0
Косметический,31.0,Казань,2,1,5,Кирпичный,1970,4199973.0
Косметический,30.4,Казань,2,1,5,Кирпичный,1970,4999979.2
Косметический,36.0,Казань,1,1,5,Кирпичный,1964,3998988.0
,32.3,Казань,1,1,5,Панельный,1968,4949975.0
,31.8,Казань,3,1,5,Кирпичный,1960,3849994.2
Косметический,41.0,Казань,2,1,2,Кирпичный,1960,3899961.0
Косметический,25.0,Казань,2,1,5,Кирпичный,1961,3800000.0
,30.4,Казань,2,1,5,Кирпичный,1970,3899985.5999999996
Косметический,33.1,Казань,3,1,3,Кирпичный,1960,3649970.1
Косметический,30.9,Казань,2,1,2,Кирпичный,1961,3699996.9
Косметический,30.0,Казань,1,1,5,Монолитный,1969,4500000.0
,31.0,Казань,2,1,5,Кирпичный,1965,4599997.0
,31.4,Казань,3,1,5,Кирпичный,1972,3698982.8
Косметический,32.3,Казань,2,1,5,Панельный,1970,3694990.8
,30.7,Казань,3,1,5,Панельный,1970,4449995.7
Косметический,31.4,Казань,1,1,3,Кирпичный,1976,3698982.8
,33.1,Казань,1,1,2,Кирпичный,1957,3599989.1
,31.0,Казань,3,1,5,Блочный,1965,4499991.0
Косметический,30.0,Казань,3,1,5,Кирпичный,1966,4399980.0
Косметический,28.8,Казань,3,1,5,Кирпичный,1970,4399977.600000001
Косметический,30.5,Казань,2,1,3,Кирпичный,1960,3699985.5
Отсутствует,38.0,Казань,2,1,2,Кирпичный,1959,3699984.0
Отсутствует,32.4,Казань,1,1,2,Кирпичный,1963,3499977.5999999996
Косметический,28.0,Казань,1,1,5,Кирпичный,1966,3549980.0
,29.3,Казань,3,1,5,Кирпичный,1970,4299980.100000001
,20.3,Казань,3,1,5,Кирпичный,1975,4198994.100000001
,30.5,Казань,1,1,3,Кирпичный,1965,4499970.0
Косметический,31.3,Казань,1,1,2,Панельный,1975,3399993.8000000003
,25.3,Казань,1,1,5,Кирпичный,1973,3399991.1
Косметический,33.4,Казань,2,1,2,Кирпичный,1958,3459972.8
,23.0,Казань,1,1,5,Кирпичный,1971,3399998.0
Косметический,31.4,Казань,1,1,5,Блочный,1970,3332984.4
Косметический,22.5,Казань,2,1,5,Кирпичный,1975,3999982.5
Косметический,30.0,Казань,1,1,2,Кирпичный,1958,3450000.0
,13.0,Казань,1,1,5,Кирпичный,1968,3299998.0
,30.2,Казань,1,1,2,Кирпичный,1958,3289988.0
Косметический,17.8,Казань,4,1,5,Кирпичный,1986,3799997.4000000004
Косметический,30.3,Казань,1,1,5,Иные,1967,3899973.6
,13.2,Казань,2,1,5,Кирпичный,1978,3099993.5999999996
,12.6,Казань,1,1,2,Кирпичный,1961,3219993.0
Косметический,27.3,Казань,3,1,3,Кирпичный,1958,3199996.8000000003
,31.0,Казань,2,1,3,Иные,1960,3799980.0
Косметический,18.0,Казань,3,1,3,Кирпичный,1958,3099996.0
,18.0,Казань,4,1,4,Кирпичный,1958,3699000.0
,19.5,Казань,4,1,5,Кирпичный,1959,2999997.0
Косметический,32.0,Казань,1,1,2,Кирпичный,1957,3798976.0
Косметический,19.0,Казань,3,1,3,Кирпичный,1953,2999986.0
